class_id,student_id,joined_ts
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,600bf3b1-5689-4804-92a2-acec7fa3d429,"2024-01-16 08:00:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,3a5674e0-a1be-4280-8b22-a1a264f917ed,"2024-01-17 08:03:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,7c547eb6-e9a1-4c33-be52-6d39b99d2ce9,"2024-01-18 08:06:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,f02c3abe-e62c-4ba5-9d39-4aca65f53ad9,"2024-01-19 08:09:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,707ef102-ede8-41b3-9c6f-b442e388d293,"2024-01-20 08:12:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,f6cbb27f-6ad8-41eb-ad15-242446b1caa7,"2024-01-21 08:15:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,aae31381-53e3-4422-ad72-6ab7e89cbbca,"2024-01-22 08:18:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,97f7931e-d23b-4219-b9a3-218dcd822d6a,"2024-01-16 08:21:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,36e2ed88-c1ac-436c-bec6-ef9845dab808,"2024-01-17 08:24:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,49ef5a46-9240-4657-815c-333c890c52d9,"2024-01-18 08:27:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,5d35df13-f142-4c79-a1ff-2552d880cebf,"2024-01-19 08:30:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,f1c2a36c-fee9-4475-861a-3fbc53dd950a,"2024-01-20 08:33:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,ac71c731-cc67-423a-8b5e-adc73e551071,"2024-01-21 08:36:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,db99638b-9b4f-4736-bd42-5c165621b1fa,"2024-01-22 08:39:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,dab31aa1-c369-4fff-89d1-f6968bb78f6a,"2024-01-16 08:42:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,71cb42a1-a95e-46d0-b9e0-0e65569fc4de,"2024-01-17 08:45:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,382fc32d-b300-41c1-a73a-6c6bf1a18360,"2024-01-18 08:48:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,5b8e425d-0c22-4c84-a7f2-33924b4dc0f6,"2024-01-19 08:51:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,d1d4b0f9-bbd4-447b-ba8d-297be87e3954,"2024-01-20 08:54:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,55f65d34-f9fb-48cb-97e0-2f73515d09bb,"2024-01-21 08:57:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,31bc14f3-2656-41b2-a960-db445632d3b4,"2024-01-22 08:00:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,e49e894b-b553-4c77-8a62-9227780a2a93,"2024-01-16 08:03:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,ccfd9857-8cd9-46ab-8c87-111ee57fbbdd,"2024-01-17 08:06:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,6985ecfc-61ae-4966-a306-3a2bbc8328c3,"2024-01-18 08:09:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,61bb079b-8648-446f-96d6-23b05018f626,"2024-01-19 08:12:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,8590e19b-839c-4a8a-b892-ff90cd138360,"2024-01-20 08:15:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,d66fc16d-ca2f-442d-9c43-22811f6dafa4,"2024-01-21 08:18:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,121793a0-d410-40f4-87a9-087808de30fd,"2024-01-22 08:21:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,e2cca22f-94e0-4979-b8f4-b86d2d11e163,"2024-01-16 08:24:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,713fc5d5-718a-42e4-9727-598670b40dd2,"2024-01-17 08:27:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,d15f7c37-7c04-440f-859f-94cb9b3ff73f,"2024-01-18 08:30:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,ce6ee518-235e-4d47-8e13-81ee377d1cd9,"2024-01-19 08:33:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,89d87cef-6367-45ec-adeb-bb2f950f8197,"2024-01-20 08:36:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,958f783d-9477-475a-a098-148060959baa,"2024-01-21 08:39:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,e5b082c0-ae10-46ee-9316-f82f554da853,"2024-01-22 08:42:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,14d204c2-ac82-48cd-9346-724812f0f8a7,"2024-01-16 08:45:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,a9195382-37dc-4584-8fec-b6844387fa50,"2024-01-17 08:48:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,93981367-396e-4d4e-a844-be1093b2e72a,"2024-01-18 08:51:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,12972116-cfc7-4617-b16e-d95c02c52843,"2024-01-19 08:54:00"
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,ecb0fc80-baf5-43d5-90b7-3e717372b26c,"2024-01-20 08:57:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,c0720f3a-acb1-4795-9357-3181f9bda31c,"2024-01-18 08:00:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,a099db2e-7fda-4af4-8383-02aec3422f23,"2024-01-19 08:03:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,d37623af-398c-4a75-b583-5747a2ee430b,"2024-01-20 08:06:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,9220534a-1785-43f4-94f4-bf7d47e94c58,"2024-01-21 08:09:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,5c74e1ae-2ce7-4354-bd3d-5679991fdfeb,"2024-01-22 08:12:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,fa2ce796-635d-4169-872a-9497a8a1e98a,"2024-01-23 08:15:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,a7a124f1-84a0-4384-b192-5c924e54cb13,"2024-01-24 08:18:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,2bc67351-d4e8-4c99-abe1-4c98c59403a0,"2024-01-18 08:21:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,13d2ebc1-81c3-4ce7-aa83-02c2bcd018bd,"2024-01-19 08:24:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,5fc912eb-e76a-4637-b294-dd889904546a,"2024-01-20 08:27:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,3939a691-cb41-4e2e-b586-4b191ddc0e92,"2024-01-21 08:30:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,9d4ac2b0-2b3d-4d2e-9a27-fb1ad7531ec0,"2024-01-22 08:33:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,60ee212d-3130-49da-bd4c-fb8676fff589,"2024-01-23 08:36:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,571d90f3-5c9b-4975-88be-e15f087838fd,"2024-01-24 08:39:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,ed80f63c-6707-4bc6-8fd0-227516e4f282,"2024-01-18 08:42:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,ccc93e01-cba7-47d0-9595-3e6f9907c1a4,"2024-01-19 08:45:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,26bc52a6-f240-48bf-9c16-8408648c6af1,"2024-01-20 08:48:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,8af0856f-9ae6-45e1-ac8e-5ed7d7a79d33,"2024-01-21 08:51:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,2c81523a-aa97-4d5e-b1a3-9b21befb07f1,"2024-01-22 08:54:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,b742ff76-bb43-4f33-9964-498f24a4387a,"2024-01-23 08:57:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,3297ff4f-ccf4-4ab6-9057-a081892bc413,"2024-01-24 08:00:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,4b262ba7-c1b7-455b-90da-c83a1ec8961c,"2024-01-18 08:03:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,5bb2deda-617f-4a54-b58d-b694dca20c8d,"2024-01-19 08:06:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,8f559342-82a9-499c-8bda-2b996bbed6ec,"2024-01-20 08:09:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,f2e2af95-3a1f-4484-a7c4-59a7571fd2f0,"2024-01-21 08:12:00"
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,2ffa3f28-8d38-4222-a6b0-89edf0941844,"2024-01-22 08:15:00"
