id,title,description,class_id,teacher_id,duration_minutes,total_marks,passing_marks,start_date,end_date,status,questions_json,created_at
1aa46c8b-153c-449b-acf8-d4d8407b0953,"Accounting Demo Exam 01","Synthetic exam generated for school presentation data.",d07b0400-e5c5-4396-ae84-a6f5a6c795d2,44154033-5719-4cb1-8f24-3f0f9acaf0b2,75,100,60,"2024-02-05 10:00:00","2024-02-05 11:15:00",completed,"[{""id"":""q-1-1"",""text"":""Core concept check in Accounting: choose the best answer."",""type"":""mcq"",""options"":[""Option A"",""Option B"",""Option C"",""Option D""],""correctAnswer"":""Option A"",""marks"":20,""topic"":""Accounting""},{""id"":""q-1-2"",""text"":""Applied problem solving in Accounting."",""type"":""mcq"",""options"":[""Approach 1"",""Approach 2"",""Approach 3"",""Approach 4""],""correctAnswer"":""Approach 2"",""marks"":20,""topic"":""Accounting""},{""id"":""q-1-3"",""text"":""Interpret the scenario and identify the correct outcome for Accounting."",""type"":""mcq"",""options"":[""Outcome 1"",""Outcome 2"",""Outcome 3"",""Outcome 4""],""correctAnswer"":""Outcome 3"",""marks"":20,""topic"":""Accounting""},{""id"":""q-1-4"",""text"":""Select the strongest justification in Accounting."",""type"":""mcq"",""options"":[""Justification A"",""Justification B"",""Justification C"",""Justification D""],""correctAnswer"":""Justification B"",""marks"":20,""topic"":""Accounting""},{""id"":""q-1-5"",""text"":""Short reflection prompt for Accounting."",""type"":""essay"",""marks"":20,""topic"":""Accounting""}]",2024-02-05
9190e7d4-b80f-4afe-93da-dc4a9232e361,"Accounting Demo Exam 02","Synthetic exam generated for school presentation data.",d07b0400-e5c5-4396-ae84-a6f5a6c795d2,44154033-5719-4cb1-8f24-3f0f9acaf0b2,90,100,60,"2024-02-26 11:00:00","2024-02-26 12:30:00",published,"[{""id"":""q-2-1"",""text"":""Core concept check in Accounting: choose the best answer."",""type"":""mcq"",""options"":[""Option A"",""Option B"",""Option C"",""Option D""],""correctAnswer"":""Option A"",""marks"":20,""topic"":""Accounting""},{""id"":""q-2-2"",""text"":""Applied problem solving in Accounting."",""type"":""mcq"",""options"":[""Approach 1"",""Approach 2"",""Approach 3"",""Approach 4""],""correctAnswer"":""Approach 2"",""marks"":20,""topic"":""Accounting""},{""id"":""q-2-3"",""text"":""Interpret the scenario and identify the correct outcome for Accounting."",""type"":""mcq"",""options"":[""Outcome 1"",""Outcome 2"",""Outcome 3"",""Outcome 4""],""correctAnswer"":""Outcome 3"",""marks"":20,""topic"":""Accounting""},{""id"":""q-2-4"",""text"":""Select the strongest justification in Accounting."",""type"":""mcq"",""options"":[""Justification A"",""Justification B"",""Justification C"",""Justification D""],""correctAnswer"":""Justification B"",""marks"":20,""topic"":""Accounting""},{""id"":""q-2-5"",""text"":""Short reflection prompt for Accounting."",""type"":""essay"",""marks"":20,""topic"":""Accounting""}]",2024-02-26
2e5e367e-a8ce-4305-85b8-3f5eb1e8ac85,"Biology Demo Exam 01","Synthetic exam generated for school presentation data.",39ec9ef9-16a4-49ed-82e0-45ff9109b66f,0c04aefd-e3c2-4260-8d14-8fe3141e0244,105,100,60,"2024-02-08 10:00:00","2024-02-08 11:45:00",completed,"[{""id"":""q-3-1"",""text"":""Core concept check in Biology: choose the best answer."",""type"":""mcq"",""options"":[""Option A"",""Option B"",""Option C"",""Option D""],""correctAnswer"":""Option A"",""marks"":20,""topic"":""Biology""},{""id"":""q-3-2"",""text"":""Applied problem solving in Biology."",""type"":""mcq"",""options"":[""Approach 1"",""Approach 2"",""Approach 3"",""Approach 4""],""correctAnswer"":""Approach 2"",""marks"":20,""topic"":""Biology""},{""id"":""q-3-3"",""text"":""Interpret the scenario and identify the correct outcome for Biology."",""type"":""mcq"",""options"":[""Outcome 1"",""Outcome 2"",""Outcome 3"",""Outcome 4""],""correctAnswer"":""Outcome 3"",""marks"":20,""topic"":""Biology""},{""id"":""q-3-4"",""text"":""Select the strongest justification in Biology."",""type"":""mcq"",""options"":[""Justification A"",""Justification B"",""Justification C"",""Justification D""],""correctAnswer"":""Justification B"",""marks"":20,""topic"":""Biology""},{""id"":""q-3-5"",""text"":""Short reflection prompt for Biology."",""type"":""essay"",""marks"":20,""topic"":""Biology""}]",2024-02-08
7234a1e7-62f3-48e4-8a47-6b6fa925e806,"Biology Demo Exam 02","Synthetic exam generated for school presentation data.",39ec9ef9-16a4-49ed-82e0-45ff9109b66f,0c04aefd-e3c2-4260-8d14-8fe3141e0244,120,100,60,"2024-02-29 11:00:00","2024-02-29 13:00:00",published,"[{""id"":""q-4-1"",""text"":""Core concept check in Biology: choose the best answer."",""type"":""mcq"",""options"":[""Option A"",""Option B"",""Option C"",""Option D""],""correctAnswer"":""Option A"",""marks"":20,""topic"":""Biology""},{""id"":""q-4-2"",""text"":""Applied problem solving in Biology."",""type"":""mcq"",""options"":[""Approach 1"",""Approach 2"",""Approach 3"",""Approach 4""],""correctAnswer"":""Approach 2"",""marks"":20,""topic"":""Biology""},{""id"":""q-4-3"",""text"":""Interpret the scenario and identify the correct outcome for Biology."",""type"":""mcq"",""options"":[""Outcome 1"",""Outcome 2"",""Outcome 3"",""Outcome 4""],""correctAnswer"":""Outcome 3"",""marks"":20,""topic"":""Biology""},{""id"":""q-4-4"",""text"":""Select the strongest justification in Biology."",""type"":""mcq"",""options"":[""Justification A"",""Justification B"",""Justification C"",""Justification D""],""correctAnswer"":""Justification B"",""marks"":20,""topic"":""Biology""},{""id"":""q-4-5"",""text"":""Short reflection prompt for Biology."",""type"":""essay"",""marks"":20,""topic"":""Biology""}]",2024-02-29
3801c5e0-a35b-422e-94cb-b2782c2bb6da,"Business Demo Exam 01","Synthetic exam generated for school presentation data.",2892f195-4729-4809-9a5a-bbc6ef2d9597,06e5e44d-d984-4c9c-aea4-485f3ddc1650,60,100,60,"2024-02-11 10:00:00","2024-02-11 11:00:00",completed,"[{""id"":""q-5-1"",""text"":""Core concept check in Business: choose the best answer."",""type"":""mcq"",""options"":[""Option A"",""Option B"",""Option C"",""Option D""],""correctAnswer"":""Option A"",""marks"":20,""topic"":""Business""},{""id"":""q-5-2"",""text"":""Applied problem solving in Business."",""type"":""mcq"",""options"":[""Approach 1"",""Approach 2"",""Approach 3"",""Approach 4""],""correctAnswer"":""Approach 2"",""marks"":20,""topic"":""Business""},{""id"":""q-5-3"",""text"":""Interpret the scenario and identify the correct outcome for Business."",""type"":""mcq"",""options"":[""Outcome 1"",""Outcome 2"",""Outcome 3"",""Outcome 4""],""correctAnswer"":""Outcome 3"",""marks"":20,""topic"":""Business""},{""id"":""q-5-4"",""text"":""Select the strongest justification in Business."",""type"":""mcq"",""options"":[""Justification A"",""Justification B"",""Justification C"",""Justification D""],""correctAnswer"":""Justification B"",""marks"":20,""topic"":""Business""},{""id"":""q-5-5"",""text"":""Short reflection prompt for Business."",""type"":""essay"",""marks"":20,""topic"":""Business""}]",2024-02-11
a5d1c240-f1ef-4594-beca-dbb3713b8183,"Business Demo Exam 02","Synthetic exam generated for school presentation data.",2892f195-4729-4809-9a5a-bbc6ef2d9597,06e5e44d-d984-4c9c-aea4-485f3ddc1650,75,100,60,"2024-03-03 11:00:00","2024-03-03 12:15:00",published,"[{""id"":""q-6-1"",""text"":""Core concept check in Business: choose the best answer."",""type"":""mcq"",""options"":[""Option A"",""Option B"",""Option C"",""Option D""],""correctAnswer"":""Option A"",""marks"":20,""topic"":""Business""},{""id"":""q-6-2"",""text"":""Applied problem solving in Business."",""type"":""mcq"",""options"":[""Approach 1"",""Approach 2"",""Approach 3"",""Approach 4""],""correctAnswer"":""Approach 2"",""marks"":20,""topic"":""Business""},{""id"":""q-6-3"",""text"":""Interpret the scenario and identify the correct outcome for Business."",""type"":""mcq"",""options"":[""Outcome 1"",""Outcome 2"",""Outcome 3"",""Outcome 4""],""correctAnswer"":""Outcome 3"",""marks"":20,""topic"":""Business""},{""id"":""q-6-4"",""text"":""Select the strongest justification in Business."",""type"":""mcq"",""options"":[""Justification A"",""Justification B"",""Justification C"",""Justification D""],""correctAnswer"":""Justification B"",""marks"":20,""topic"":""Business""},{""id"":""q-6-5"",""text"":""Short reflection prompt for Business."",""type"":""essay"",""marks"":20,""topic"":""Business""}]",2024-03-03
e2b46ea1-b118-4aab-9fbd-9ce774ec4c7e,"Chemistry Demo Exam 01","Synthetic exam generated for school presentation data.",5846881f-7d7f-4c37-9575-ded0a35590bd,4d8e621f-9cf5-43b5-af64-13e8b303a72f,90,100,60,"2024-02-14 10:00:00","2024-02-14 11:30:00",completed,"[{""id"":""q-7-1"",""text"":""Core concept check in Chemistry: choose the best answer."",""type"":""mcq"",""options"":[""Option A"",""Option B"",""Option C"",""Option D""],""correctAnswer"":""Option A"",""marks"":20,""topic"":""Chemistry""},{""id"":""q-7-2"",""text"":""Applied problem solving in Chemistry."",""type"":""mcq"",""options"":[""Approach 1"",""Approach 2"",""Approach 3"",""Approach 4""],""correctAnswer"":""Approach 2"",""marks"":20,""topic"":""Chemistry""},{""id"":""q-7-3"",""text"":""Interpret the scenario and identify the correct outcome for Chemistry."",""type"":""mcq"",""options"":[""Outcome 1"",""Outcome 2"",""Outcome 3"",""Outcome 4""],""correctAnswer"":""Outcome 3"",""marks"":20,""topic"":""Chemistry""},{""id"":""q-7-4"",""text"":""Select the strongest justification in Chemistry."",""type"":""mcq"",""options"":[""Justification A"",""Justification B"",""Justification C"",""Justification D""],""correctAnswer"":""Justification B"",""marks"":20,""topic"":""Chemistry""},{""id"":""q-7-5"",""text"":""Short reflection prompt for Chemistry."",""type"":""essay"",""marks"":20,""topic"":""Chemistry""}]",2024-02-14
2a14a58b-18f2-4b57-84c6-e8346d6d9221,"Chemistry Demo Exam 02","Synthetic exam generated for school presentation data.",5846881f-7d7f-4c37-9575-ded0a35590bd,4d8e621f-9cf5-43b5-af64-13e8b303a72f,105,100,60,"2024-03-06 11:00:00","2024-03-06 12:45:00",published,"[{""id"":""q-8-1"",""text"":""Core concept check in Chemistry: choose the best answer."",""type"":""mcq"",""options"":[""Option A"",""Option B"",""Option C"",""Option D""],""correctAnswer"":""Option A"",""marks"":20,""topic"":""Chemistry""},{""id"":""q-8-2"",""text"":""Applied problem solving in Chemistry."",""type"":""mcq"",""options"":[""Approach 1"",""Approach 2"",""Approach 3"",""Approach 4""],""correctAnswer"":""Approach 2"",""marks"":20,""topic"":""Chemistry""},{""id"":""q-8-3"",""text"":""Interpret the scenario and identify the correct outcome for Chemistry."",""type"":""mcq"",""options"":[""Outcome 1"",""Outcome 2"",""Outcome 3"",""Outcome 4""],""correctAnswer"":""Outcome 3"",""marks"":20,""topic"":""Chemistry""},{""id"":""q-8-4"",""text"":""Select the strongest justification in Chemistry."",""type"":""mcq"",""options"":[""Justification A"",""Justification B"",""Justification C"",""Justification D""],""correctAnswer"":""Justification B"",""marks"":20,""topic"":""Chemistry""},{""id"":""q-8-5"",""text"":""Short reflection prompt for Chemistry."",""type"":""essay"",""marks"":20,""topic"":""Chemistry""}]",2024-03-06
1b416d5a-47d8-4940-9b5d-bd34dff89327,"Civil Engineering Demo Exam 01","Synthetic exam generated for school presentation data.",13d0ef3d-4e42-4ab7-906b-6b61a61986c2,85c5949e-233a-45c7-a837-c5790ed146f5,120,100,60,"2024-02-17 10:00:00","2024-02-17 12:00:00",completed,"[{""id"":""q-9-1"",""text"":""Core concept check in Civil Engineering: choose the best answer."",""type"":""mcq"",""options"":[""Option A"",""Option B"",""Option C"",""Option D""],""correctAnswer"":""Option A"",""marks"":20,""topic"":""Civil Engineering""},{""id"":""q-9-2"",""text"":""Applied problem solving in Civil Engineering."",""type"":""mcq"",""options"":[""Approach 1"",""Approach 2"",""Approach 3"",""Approach 4""],""correctAnswer"":""Approach 2"",""marks"":20,""topic"":""Civil Engineering""},{""id"":""q-9-3"",""text"":""Interpret the scenario and identify the correct outcome for Civil Engineering."",""type"":""mcq"",""options"":[""Outcome 1"",""Outcome 2"",""Outcome 3"",""Outcome 4""],""correctAnswer"":""Outcome 3"",""marks"":20,""topic"":""Civil Engineering""},{""id"":""q-9-4"",""text"":""Select the strongest justification in Civil Engineering."",""type"":""mcq"",""options"":[""Justification A"",""Justification B"",""Justification C"",""Justification D""],""correctAnswer"":""Justification B"",""marks"":20,""topic"":""Civil Engineering""},{""id"":""q-9-5"",""text"":""Short reflection prompt for Civil Engineering."",""type"":""essay"",""marks"":20,""topic"":""Civil Engineering""}]",2024-02-17
19e5b089-3e7e-46a3-a92d-6fd9858166a3,"Civil Engineering Demo Exam 02","Synthetic exam generated for school presentation data.",13d0ef3d-4e42-4ab7-906b-6b61a61986c2,85c5949e-233a-45c7-a837-c5790ed146f5,60,100,60,"2024-03-09 11:00:00","2024-03-09 12:00:00",published,"[{""id"":""q-10-1"",""text"":""Core concept check in Civil Engineering: choose the best answer."",""type"":""mcq"",""options"":[""Option A"",""Option B"",""Option C"",""Option D""],""correctAnswer"":""Option A"",""marks"":20,""topic"":""Civil Engineering""},{""id"":""q-10-2"",""text"":""Applied problem solving in Civil Engineering."",""type"":""mcq"",""options"":[""Approach 1"",""Approach 2"",""Approach 3"",""Approach 4""],""correctAnswer"":""Approach 2"",""marks"":20,""topic"":""Civil Engineering""},{""id"":""q-10-3"",""text"":""Interpret the scenario and identify the correct outcome for Civil Engineering."",""type"":""mcq"",""options"":[""Outcome 1"",""Outcome 2"",""Outcome 3"",""Outcome 4""],""correctAnswer"":""Outcome 3"",""marks"":20,""topic"":""Civil Engineering""},{""id"":""q-10-4"",""text"":""Select the strongest justification in Civil Engineering."",""type"":""mcq"",""options"":[""Justification A"",""Justification B"",""Justification C"",""Justification D""],""correctAnswer"":""Justification B"",""marks"":20,""topic"":""Civil Engineering""},{""id"":""q-10-5"",""text"":""Short reflection prompt for Civil Engineering."",""type"":""essay"",""marks"":20,""topic"":""Civil Engineering""}]",2024-03-09
